Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;
0.500016;-0.497483;0.017575;-1109.17;-17.898;20.5562;-0.00900139;-0.0191402;-1166.31;-14.3963;-1040.2;-14.3962;
0.510017;-0.495881;0.0187631;-1109.12;-17.8981;20.5384;-0.0082304;-0.0194583;-1166.26;-14.3963;-1040.15;-14.3962;
0.520017;-0.494423;0.0194402;-1109.06;-17.8981;20.5209;-0.00744244;-0.0197649;-1166.2;-14.3962;-1040.09;-14.3961;
0.530017;-0.493178;0.0171411;-1109.01;-17.8982;20.5046;-0.00671493;-0.0200474;-1166.15;-14.3962;-1040.04;-14.3961;
0.540018;-0.492038;0.0169598;-1108.95;-17.8982;20.4873;-0.0060084;-0.0203459;-1166.09;-14.3961;-1039.98;-14.396;
0.550018;-0.490944;0.0148582;-1108.89;-17.8982;20.4676;-0.00524523;-0.0206964;-1166.03;-14.3961;-1039.92;-14.396;
0.560018;-0.490194;0.0126602;-1108.84;-17.8983;20.4507;-0.00467414;-0.0210076;-1165.98;-14.396;-1039.87;-14.3959;
0.570019;-0.489573;0.0126692;-1108.78;-17.8983;20.4328;-0.00408528;-0.0213529;-1165.92;-14.396;-1039.81;-14.3959;
0.580019;-0.489096;0.0103796;-1108.72;-17.8983;20.4158;-0.00355733;-0.0216902;-1165.86;-14.3959;-1039.75;-14.3958;
0.590019;-0.488721;0.00936753;-1108.66;-17.8984;20.3968;-0.00303447;-0.0220809;-1165.8;-14.3959;-1039.7;-14.3958;
0.60002;-0.488486;0.0080238;-1108.61;-17.8984;20.3793;-0.00259648;-0.0224471;-1165.75;-14.3958;-1039.64;-14.3957;
0.61002;-0.488329;0.00643483;-1108.55;-17.8984;20.3617;-0.00220235;-0.0228198;-1165.69;-14.3958;-1039.58;-14.3956;
