Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;
0.880093;-0.2214;0.968241;-1.90434;-1.41311;77.5577;0.0126178;2.14653;63.1865;-1.74208;-30.4204;1.75838;78.186;-5.24208;
0.890094;-0.223296;0.966733;-1.68913;-1.40497;77.5497;0.0122528;2.17243;63.4089;-1.74193;-30.1147;1.75853;78.4083;-5.24192;
0.900095;-0.223483;0.965401;-1.4711;-1.39663;77.5415;0.0117316;2.19876;63.6312;-1.74178;-29.809;1.75868;78.6307;-5.24177;
0.910096;-0.266598;0.96436;-1.25708;-1.38833;77.5329;0.0110691;2.22471;63.8537;-1.74162;-29.503;1.75884;78.8532;-5.24162;
0.920097;-0.425944;0.963991;-1.0421;-1.37991;77.5198;0.0103058;2.25085;64.0764;-1.74147;-29.1969;1.759;79.0758;-5.24146;
0.930098;-0.465585;0.964112;-0.832408;-1.3716;77.5039;0.00950384;2.27641;64.299;-1.74131;-28.8908;1.75915;79.2984;-5.2413;
0.940099;-0.5079;0.964177;-0.610616;-1.36272;77.4862;0.00860979;2.3035;64.5216;-1.74115;-28.5847;1.75931;79.521;-5.24115;
0.9501;-0.589355;0.965192;-0.396337;-1.35403;77.4658;0.00771468;2.32974;64.7442;-1.741;-28.2786;1.75946;79.7437;-5.24099;
0.960101;-0.606743;0.967102;-0.180902;-1.34519;77.444;0.00684457;2.35617;64.9665;-1.74084;-27.973;1.75962;79.9659;-5.24083;
0.970103;-0.610636;0.969178;0.0180764;-1.33696;77.4236;0.00608647;2.3806;65.1885;-1.74068;-27.6677;1.75978;80.188;-5.24067;
0.980104;-0.611393;0.971821;0.248597;-1.32731;77.3998;0.00528764;2.40895;65.4106;-1.74052;-27.3624;1.75994;80.41;-5.24052;
0.990105;-0.611395;0.974343;0.463525;-1.31821;77.3777;0.00464717;2.4354;65.6326;-1.74036;-27.057;1.7601;80.6321;-5.24036;
1.00011;-0.103696;0.976309;0.67705;-1.30907;77.3633;0.00411184;2.4617;65.8547;-1.74021;-26.7517;1.76025;80.8541;-5.2402;
1.01011;0.637523;0.974582;0.874196;-1.30055;77.3739;0.00361176;2.486;66.0772;-1.74005;-26.4457;1.76041;81.0767;-5.24004;
1.02011;0.843684;0.971989;1.08005;-1.29156;77.4003;0.00298442;2.51138;66.3002;-1.73989;-26.1392;1.76057;81.2996;-5.23988;
1.03011;0.846137;0.968644;1.32075;-1.28094;77.4354;0.00217863;2.54101;66.5231;-1.73972;-25.8327;1.76073;81.5225;-5.23972;
1.04011;0.0665494;0.96714;1.52605;-1.27179;77.4516;0.00145991;2.56619;66.746;-1.73956;-25.5262;1.76089;81.7454;-5.23956;
1.05011;-1.01524;0.980069;1.73357;-1.26244;77.4288;0.00123095;2.59152;66.9689;-1.7394;-25.2197;1.76105;81.9683;-5.2394;
1.06011;-1.25061;0.986506;1.96277;-1.25202;77.384;0.00142792;2.61938;67.1912;-1.73924;-24.914;1.76121;82.1907;-5.23923;
1.07011;-1.29068;0.989808;2.16246;-1.24285;77.3412;0.00186005;2.64359;67.4133;-1.73908;-24.6087;1.76138;82.4127;-5.23907;
1.08011;-1.29716;0.991079;2.39634;-1.23199;77.2903;0.0025179;2.67192;67.6353;-1.73892;-24.3034;1.76154;82.6347;-5.23891;
1.09012;-1.29743;0.991249;2.61173;-1.22189;77.2432;0.0031546;2.69802;67.8573;-1.73876;-23.9982;1.7617;82.8567;-5.23875;
1.10012;-1.29781;0.991506;2.82649;-1.21172;77.1962;0.00378223;2.72406;68.0793;-1.73859;-23.6929;1.76186;83.0787;-5.23858;
1.11012;-1.29918;0.991862;3.04113;-1.20145;77.1491;0.00438347;2.75015;68.2986;-1.73843;-23.3913;1.76202;83.2981;-5.23842;
1.12012;-1.30075;0.991957;3.25472;-1.19114;77.1022;0.00494323;2.77616;68.5163;-1.73827;-23.0921;1.76218;83.5157;-5.23826;
1.13012;-1.3019;0.984545;3.46721;-1.18078;77.0553;0.00519979;2.80211;68.7339;-1.73811;-22.7929;1.76234;83.7333;-5.2381;
1.14012;-1.30252;0.982128;3.6569;-1.17145;77.0135;0.0053001;2.8253;68.9515;-1.73795;-22.4937;1.7625;83.9509;-5.23794;
1.15012;-1.30253;0.982428;3.88795;-1.15998;76.9625;0.00544332;2.8536;69.1691;-1.73779;-22.1944;1.76266;84.1685;-5.23778;
1.16012;-1.30184;0.979297;4.09218;-1.14975;76.9174;0.00546039;2.87867;69.3913;-1.73763;-21.889;1.76282;84.3907;-5.23762;
1.17012;-1.30062;0.975425;4.30372;-1.13906;76.8706;0.00530621;2.90468;69.6184;-1.73746;-21.5766;1.76299;84.6179;-5.23745;
1.18012;-1.29885;0.962125;4.53397;-1.12731;76.8198;0.00495161;2.93303;69.8456;-1.73729;-21.2642;1.76316;84.8451;-5.23728;
1.19013;-1.29713;0.963289;4.74701;-1.11634;76.7728;0.00439037;2.95928;70.0728;-1.73712;-20.9518;1.76332;85.0723;-5.23711;
1.20013;-1.29538;0.960164;4.9618;-1.10518;76.7255;0.0037996;2.98575;70.3;-1.73695;-20.6394;1.76349;85.2995;-5.23694;
1.21013;-1.29365;0.952025;5.17548;-1.09398;76.6785;0.00312244;3.01207;70.5241;-1.73679;-20.3313;1.76366;85.5236;-5.23678;
1.22013;-1.29213;0.952694;5.3886;-1.08272;76.6316;0.00233269;3.03831;70.7462;-1.73662;-20.0259;1.76382;85.7456;-5.23661;
1.23013;-1.29072;0.944693;5.59961;-1.07147;76.5852;0.00135658;3.06423;70.9683;-1.73645;-19.7206;1.76399;85.9677;-5.23644;
1.24013;-1.28959;0.945767;5.81002;-1.06016;76.5389;0.000584688;3.09001;71.1903;-1.73629;-19.4152;1.76415;86.1898;-5.23628;
1.25013;-0.205134;0.93848;6.02342;-1.0486;76.5033;-0.000171521;3.11611;71.4124;-1.73612;-19.1099;1.76432;86.4118;-5.23611;
1.26013;0.979418;0.931251;6.23595;-1.037;76.5172;-0.00105333;3.14204;71.6347;-1.73596;-18.8043;1.76448;86.6341;-5.23595;
1.27013;1.23469;0.921432;6.44949;-1.02523;76.559;-0.00220449;3.16799;71.857;-1.73579;-18.4985;1.76465;86.8565;-5.23578;
1.28014;1.30365;0.915637;6.6625;-1.01341;76.6052;-0.00341632;3.19373;72.0794;-1.73562;-18.1928;1.76481;87.0788;-5.23561;
1.29014;1.80105;0.901607;6.85757;-1.0025;76.6516;-0.0045963;3.21712;72.3017;-1.73545;-17.887;1.76498;87.3012;-5.23545;
1.30014;2.98152;0.890849;7.0856;-0.989659;76.7424;-0.00608757;3.24422;72.5241;-1.73529;-17.5813;1.76515;87.5235;-5.23528;
1.31014;3.3;0.88396;7.29865;-0.977558;76.8579;-0.00756416;3.26924;72.7457;-1.73512;-17.2765;1.76531;87.7452;-5.23511;
1.32014;3.40264;0.877917;7.51274;-0.965313;76.98;-0.00877166;3.29405;72.9669;-1.73495;-16.9725;1.76548;87.9663;-5.23495;
1.33014;3.43705;0.873427;7.72541;-0.953065;77.1033;-0.00979749;3.31832;73.188;-1.73479;-16.6684;1.76564;88.1874;-5.23478;
1.34014;3.44693;0.874842;7.94223;-0.940492;77.2297;-0.0104187;3.34264;73.4091;-1.73462;-16.3644;1.76581;88.4086;-5.23461;
1.35014;3.13799;0.872202;8.15734;-0.927919;77.3507;-0.0105255;3.36626;73.6303;-1.73445;-16.0603;1.76597;88.6297;-5.23445;
1.36014;2.66943;0.876212;8.36847;-0.915495;77.4516;-0.0100774;3.38899;73.8525;-1.73429;-15.7548;1.76614;88.8519;-5.23428;
1.37014;2.52812;0.876696;8.5673;-0.903723;77.5386;-0.00922459;3.41002;74.0754;-1.73412;-15.4483;1.76631;89.0748;-5.23411;
1.38015;2.48225;0.876194;8.79936;-0.889891;77.6366;-0.00781769;3.43417;74.2983;-1.73395;-15.1417;1.76647;89.2977;-5.23394;
1.39015;2.47121;0.865446;9.01482;-0.876947;77.7266;-0.00654895;3.4562;74.5212;-1.73378;-14.8352;1.76664;89.5207;-5.23377;
1.40015;2.46636;0.861262;9.2317;-0.863834;77.8168;-0.00511097;3.47809;74.7441;-1.73361;-14.5287;1.76681;89.7436;-5.2336;
1.41015;2.51356;0.852705;9.44823;-0.850659;77.9069;-0.00367332;3.49968;74.9661;-1.73345;-14.2235;1.76698;89.9656;-5.23344;
1.42015;2.61852;0.842101;9.66168;-0.837587;77.999;-0.00229453;3.52071;75.1875;-1.73328;-13.919;1.76714;90.187;-5.23327;
1.43015;2.63742;0.824311;9.88111;-0.824061;78.0961;-0.00122478;3.54208;75.409;-1.73311;-13.6146;1.76731;90.4084;-5.2331;
1.44015;2.26544;0.815098;10.098;-0.810604;78.1848;-0.000277626;3.56293;75.6304;-1.73294;-13.3102;1.76748;90.6298;-5.23293;
1.45015;1.76082;0.796101;10.3151;-0.797066;78.2558;0.00029297;3.58353;75.8518;-1.73277;-13.0058;1.76764;90.8512;-5.23276;
1.46015;1.66479;0.778258;10.5105;-0.784805;78.3115;0.000582913;3.60179;76.0741;-1.73261;-12.7;1.76781;91.0735;-5.2326;
1.47016;1.63874;0.750657;10.7477;-0.769833;78.3768;0.00037273;3.62363;76.2971;-1.73244;-12.3934;1.76798;91.2965;-5.23243;
1.48016;1.63368;0.720061;10.9647;-0.756063;78.4361;-0.000635569;3.64326;76.52;-1.73227;-12.0869;1.76815;91.5195;-5.23226;
1.49016;1.6322;0.696293;11.1837;-0.742097;78.4957;-0.00210549;3.66268;76.743;-1.7321;-11.7803;1.76832;91.7425;-5.23209;
1.50016;1.63081;0.661654;11.4022;-0.72809;78.555;-0.00410771;3.68165;76.966;-1.73193;-11.4737;1.76848;91.9654;-5.23192;
1.51016;1.52449;0.6284;11.6155;-0.714351;78.611;-0.00654553;3.69964;77.1858;-1.73176;-11.1714;1.76865;92.1853;-5.23175;
1.52016;1.47032;0.599376;11.8233;-0.700908;78.6623;-0.00934797;3.71669;77.4036;-1.73159;-10.8719;1.76881;92.4031;-5.23159;
1.53016;1.45586;0.566361;12.052;-0.686059;78.7178;-0.0129201;3.7348;77.6214;-1.73143;-10.5725;1.76898;92.6209;-5.23142;
1.54016;1.43326;0.493689;12.2709;-0.671784;78.7701;-0.0171456;3.75147;77.8392;-1.73126;-10.273;1.76914;92.8387;-5.23125;
1.55016;1.42684;0.489694;12.4645;-0.659113;78.8159;-0.0208721;3.76549;78.057;-1.7311;-9.97352;1.76931;93.0565;-5.23109;
1.56016;1.42519;0.447534;12.6945;-0.64402;78.87;-0.0254324;3.78128;78.2795;-1.73093;-9.66756;1.76948;93.279;-5.23092;
1.57017;1.42471;0.405902;12.9285;-0.62861;78.925;-0.0304145;3.79644;78.5071;-1.73076;-9.35461;1.76965;93.5066;-5.23075;
1.58017;1.42454;0.365464;13.1478;-0.614127;78.9765;-0.0353259;3.80971;78.7347;-1.73058;-9.04165;1.76982;93.7342;-5.23057;
1.59017;1.42448;0.317096;13.3677;-0.599565;79.0281;-0.0403825;3.82189;78.9623;-1.73041;-8.72869;1.76999;93.9618;-5.2304;
1.60017;1.72031;0.270486;13.5872;-0.585006;79.0839;-0.0454698;3.83303;79.19;-1.73024;-8.41574;1.77017;94.1894;-5.23023;
1.61017;2.16484;0.221646;13.8065;-0.570428;79.1551;-0.0511081;3.84307;79.4142;-1.73006;-8.10738;1.77034;94.4137;-5.23005;
1.62017;2.27896;0.176137;14.0252;-0.555877;79.2352;-0.0568571;3.8519;79.6363;-1.72989;-7.80196;1.7705;94.6358;-5.22988;
1.63017;2.30022;0.124673;14.2458;-0.541177;79.3181;-0.0625691;3.85935;79.8585;-1.72973;-7.49654;1.77067;94.8579;-5.22972;
1.64017;2.30561;0.0833538;14.4655;-0.526523;79.4011;-0.0679395;3.86542;80.0806;-1.72956;-7.19112;1.77084;95.08;-5.22955;
1.65017;2.30654;0.0281304;14.6847;-0.511904;79.4838;-0.0730415;3.8702;80.3027;-1.72939;-6.8857;1.77101;95.3021;-5.22938;
1.66018;2.37546;-0.00908718;14.9058;-0.497155;79.5673;-0.0778068;3.87352;80.522;-1.72922;-6.58412;1.77118;95.5215;-5.22921;
1.67018;2.95071;-0.0664635;15.1254;-0.482505;79.6668;-0.0822077;3.87515;80.7395;-1.72905;-6.28506;1.77134;95.739;-5.22904;
1.68018;3.09885;-0.109661;15.347;-0.467734;79.7769;-0.0861377;3.87528;80.957;-1.72889;-5.986;1.77151;95.9565;-5.22888;
1.69018;3.10067;-0.150547;15.5686;-0.452966;79.8892;-0.0892861;3.87389;81.1745;-1.72872;-5.68694;1.77167;96.174;-5.22871;
1.70018;3.07773;-0.190946;15.7662;-0.43982;79.9884;-0.091431;3.87133;81.392;-1.72856;-5.38788;1.77184;96.3915;-5.22855;
1.71018;3.0692;-0.231899;15.9882;-0.425065;80.0992;-0.0931756;3.8669;81.6143;-1.72839;-5.08229;1.77201;96.6137;-5.22838;
1.72018;3.06607;-0.280364;16.2334;-0.408795;80.2213;-0.0942699;3.86007;81.8416;-1.72821;-4.76975;1.77218;96.841;-5.2282;
1.73018;3.06383;-0.340024;16.4563;-0.39404;80.332;-0.094751;3.85229;82.0689;-1.72804;-4.45721;1.77235;97.0683;-5.22803;
1.74018;3.06286;-0.361096;16.6795;-0.37929;80.4427;-0.094314;3.84294;82.2962;-1.72787;-4.14466;1.77252;97.2956;-5.22786;
1.75019;3.03455;-0.406063;16.9028;-0.364582;80.5527;-0.0928356;3.83188;82.5235;-1.72769;-3.83212;1.7727;97.5229;-5.22768;
