Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0.530106;-1.11966;0.00193622;-35.9707;-1.7509;18.1361;-0.00321253;-0.0198674;21.2939;5.24869;5.24806;-63.5032;1.74824;-44.6023;9.1974;14.1706;13.9593;7.74082;
0.540108;-1.12523;-0.000619124;-35.9204;-1.75093;18.0958;-0.0030863;-0.0202381;21.2353;5.24863;5.24797;-63.4165;1.74816;-44.5195;9.1849;14.1706;13.9175;7.74061;
0.55011;-1.13101;-0.00493086;-35.8691;-1.75095;18.0543;-0.00303657;-0.020601;21.1767;5.24857;5.24788;-63.3298;1.74808;-44.4368;9.1724;14.1705;13.8758;7.74039;
0.560112;-1.13649;-0.00535478;-35.8206;-1.75098;18.0148;-0.00310424;-0.0209406;21.1182;5.2485;5.24779;-63.2431;1.748;-44.354;9.15991;14.1705;13.8341;7.74018;
0.570114;-1.14217;-0.00397262;-35.7713;-1.75101;17.9742;-0.00315348;-0.0212975;21.0596;5.24844;5.2477;-63.1564;1.74792;-44.2713;9.14741;14.1704;13.7924;7.73996;
0.580116;-1.14801;-0.00331723;-35.7207;-1.75103;17.9324;-0.0031663;-0.0216715;21.0009;5.24838;5.24761;-63.0695;1.74784;-44.1885;9.13492;14.1704;13.7507;7.73975;
0.590118;-1.15378;-0.000532934;-35.6707;-1.75106;17.8908;-0.00310346;-0.0220437;20.9415;5.24831;5.24751;-62.982;1.74775;-44.1058;9.1224;14.1703;13.7088;7.73954;
0.60012;-1.15953;-0.000607499;-35.621;-1.75109;17.8491;-0.00299288;-0.0224048;20.8821;5.24824;5.24741;-62.8945;1.74767;-44.023;9.10986;14.1703;13.667;7.73934;
0.610122;-1.16517;-0.00159849;-35.5719;-1.75112;17.8076;-0.00292931;-0.0227466;20.8227;5.24817;5.24731;-62.8069;1.74758;-43.9403;9.09733;14.1702;13.6252;7.73913;
0.620124;-1.1709;-0.00201861;-35.5219;-1.75115;17.765;-0.00289207;-0.0230863;20.7633;5.2481;5.24722;-62.7194;1.74749;-43.8575;9.08479;14.1701;13.5834;7.73893;
0.630126;-1.17651;-0.00215799;-35.4727;-1.75117;17.7229;-0.00286622;-0.023415;20.7039;5.24803;5.24712;-62.6319;1.7474;-43.7749;9.07226;14.1701;13.5416;7.73873;
0.640128;-1.18205;-0.00216956;-35.4241;-1.7512;17.681;-0.00284402;-0.023737;20.6442;5.24795;5.24701;-62.5442;1.74731;-43.6929;9.05975;14.17;13.5001;7.73854;
0.65013;-1.18755;-0.00212573;-35.3758;-1.75123;17.6389;-0.00282219;-0.0240554;20.5844;5.24787;5.2469;-62.4566;1.74721;-43.611;9.04726;14.1699;13.4585;7.73835;
0.660132;-1.19322;-0.00207726;-35.326;-1.75126;17.5952;-0.00279876;-0.0243817;20.5247;5.2478;5.2468;-62.369;1.74712;-43.529;9.03477;14.1699;13.417;7.73816;
0.670134;-1.19878;-0.00204502;-35.2772;-1.75129;17.5522;-0.00277506;-0.0247006;20.465;5.24772;5.24669;-62.2814;1.74702;-43.447;9.02228;14.1698;13.3754;7.73797;
0.680136;-1.20438;-0.00203452;-35.2282;-1.75132;17.5087;-0.0027511;-0.0250202;20.4051;5.24764;5.24658;-62.1937;1.74693;-43.3651;9.00979;14.1697;13.3339;7.73779;
0.690138;-1.20996;-0.00204656;-35.1796;-1.75135;17.4652;-0.00272802;-0.0253365;20.3447;5.24756;5.24647;-62.1056;1.74683;-43.2836;8.99726;14.1697;13.2925;7.73761;
0.70014;-1.21564;-0.00207367;-35.1305;-1.75137;17.421;-0.00270602;-0.0256559;20.2843;5.24748;5.24636;-62.0175;1.74673;-43.202;8.98471;14.1696;13.251;7.73744;
0.710142;-1.22122;-0.00210777;-35.0825;-1.7514;17.3774;-0.00268605;-0.0259679;20.2239;5.24739;5.24624;-61.9295;1.74662;-43.1205;8.97216;14.1695;13.2096;7.73726;
0.720144;-1.22679;-0.00214717;-35.0348;-1.75143;17.3338;-0.00266802;-0.0262774;20.1635;5.24731;5.24613;-61.8414;1.74652;-43.0389;8.9596;14.1695;13.1681;7.73709;
0.730146;-1.23262;-0.00283372;-34.9853;-1.75146;17.2882;-0.00266067;-0.0265988;20.1029;5.24722;5.24602;-61.7531;1.74642;-42.9574;8.94705;14.1694;13.1266;7.73691;
0.740148;-1.2381;-0.00577825;-34.9391;-1.75149;17.2453;-0.00273543;-0.0269035;20.0414;5.24713;5.24589;-61.6641;1.74631;-42.8757;8.93457;14.1693;13.085;7.73675;
0.75015;-1.24384;-0.00408955;-34.8907;-1.75152;17.2001;-0.0028079;-0.0272384;19.9799;5.24704;5.24577;-61.575;1.7462;-42.7941;8.92212;14.1693;13.0434;7.73659;
0.760153;-1.24951;-0.00342925;-34.8432;-1.75155;17.1554;-0.00283781;-0.0275795;19.9184;5.24695;5.24565;-61.4859;1.7461;-42.7125;8.90968;14.1692;13.0017;7.73643;
0.770155;-1.25524;-0.00322106;-34.7953;-1.75158;17.1101;-0.00285237;-0.0279302;19.8569;5.24686;5.24553;-61.3968;1.74599;-42.6308;8.89724;14.1691;12.9601;7.73627;
0.780157;-1.26094;-0.00323619;-34.748;-1.75162;17.0649;-0.00286313;-0.0282822;19.7952;5.24676;5.24541;-61.3076;1.74588;-42.5492;8.88479;14.1691;12.9185;7.73611;
0.790159;-1.26664;-0.00331351;-34.7005;-1.75165;17.0193;-0.00287581;-0.0286368;19.7329;5.24666;5.24528;-61.2178;1.74576;-42.4678;8.87232;14.169;12.8768;7.73596;
0.800161;-1.27229;-0.003391;-34.6537;-1.75168;16.974;-0.00289111;-0.0289885;19.6705;5.24657;5.24515;-61.128;1.74565;-42.3864;8.85982;14.169;12.8351;7.73582;
0.810163;-1.27803;-0.00343668;-34.6061;-1.75171;16.9275;-0.00290958;-0.0293472;19.6081;5.24647;5.24502;-61.0382;1.74554;-42.305;8.84731;14.1689;12.7935;7.73567;
0.820165;-1.28362;-0.00344118;-34.5596;-1.75174;16.8819;-0.00292889;-0.0296974;19.5458;5.24637;5.24489;-60.9484;1.74542;-42.2236;8.83481;14.1688;12.7518;7.73552;
