Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0.460126;-0.0565864;0.082684;-89.7404;-5.2338;19.914;0.0725491;0.376567;-5.2491;94.312;-5.24909;126.018;-9.38734;-14.1258;-23.0577;-7.7438;
0.470128;-0.0555203;0.083258;-89.6868;-5.23325;19.9121;0.0724738;0.385118;-5.24906;94.254;-5.24905;125.961;-9.37484;-14.126;-23.0161;-7.74356;
0.480131;-0.0545213;0.0837762;-89.6313;-5.23267;19.9101;0.0724161;0.393965;-5.24901;94.1959;-5.249;125.904;-9.36233;-14.1261;-22.9744;-7.74332;
0.490134;-0.0536893;0.0842251;-89.5752;-5.23207;19.9081;0.0723755;0.402907;-5.24896;94.1376;-5.24895;125.847;-9.34982;-14.1262;-22.9328;-7.74308;
0.500136;-0.0530551;0.0845998;-89.5194;-5.23147;19.9062;0.0723503;0.411813;-5.2489;94.079;-5.24889;125.789;-9.33731;-14.1262;-22.8911;-7.74285;
0.510139;-0.0526439;0.0848861;-89.464;-5.23087;19.9043;0.0723394;0.420649;-5.24884;94.0203;-5.24884;125.732;-9.3248;-14.1263;-22.8495;-7.74261;
0.520142;-0.052379;0.0851162;-89.4087;-5.23026;19.9025;0.0723383;0.42946;-5.24879;93.9616;-5.24878;125.674;-9.3123;-14.1263;-22.8078;-7.74238;
0.530145;-0.0522668;0.0852973;-89.3531;-5.22963;19.9006;0.0723451;0.438329;-5.24873;93.9029;-5.24872;125.617;-9.29979;-14.1263;-22.7662;-7.74215;
0.540147;-0.052292;0.0854293;-89.2977;-5.229;19.8987;0.0723581;0.447165;-5.24868;93.844;-5.24867;125.559;-9.28729;-14.1262;-22.7246;-7.74191;
0.55015;-0.0524399;0.0855099;-89.2426;-5.22837;19.8969;0.072376;0.455951;-5.24861;93.7847;-5.2486;125.502;-9.27479;-14.1262;-22.683;-7.74169;
0.560153;-0.0526605;0.0855518;-89.1877;-5.22773;19.895;0.0723965;0.46469;-5.24855;93.7254;-5.24854;125.444;-9.26229;-14.1262;-22.6414;-7.74146;
0.570156;-0.0529321;0.0855611;-89.1317;-5.22706;19.8931;0.0724189;0.473629;-5.24849;93.6661;-5.24848;125.386;-9.24978;-14.1261;-22.5998;-7.74124;
0.580158;-0.0532211;0.0855422;-89.076;-5.22639;19.8912;0.0724417;0.482509;-5.24842;93.6069;-5.24842;125.328;-9.23726;-14.126;-22.5582;-7.74101;
0.590161;-0.0534934;0.0854994;-89.0218;-5.22574;19.8893;0.0724632;0.491141;-5.24836;93.5473;-5.24835;125.271;-9.22475;-14.1259;-22.5166;-7.74079;
0.600164;-0.0537406;0.0854413;-88.967;-5.22506;19.8874;0.0724836;0.499876;-5.24829;93.4873;-5.24828;125.212;-9.21223;-14.1259;-22.475;-7.74057;
0.610166;-0.053949;0.0853723;-88.9116;-5.22437;19.8855;0.0725027;0.508716;-5.24822;93.4272;-5.24821;125.154;-9.19971;-14.1258;-22.4335;-7.74036;
0.620169;-0.0541095;0.0852964;-88.8553;-5.22366;19.8836;0.0725199;0.517683;-5.24815;93.3672;-5.24814;125.096;-9.1872;-14.1257;-22.3919;-7.74014;
0.630172;-0.0542099;0.085219;-88.8003;-5.22296;19.8816;0.0725343;0.526454;-5.24808;93.3071;-5.24807;125.038;-9.17471;-14.1256;-22.3503;-7.73993;
0.640175;-0.0542581;0.0851414;-88.7458;-5.22226;19.8797;0.0725464;0.535132;-5.24801;93.2467;-5.248;124.979;-9.16222;-14.1255;-22.3086;-7.73972;
