Time(s),Value(mm)
831.22,3.48655937115351
831.24,3.44420638680458
831.26,3.40185340245565
831.28,3.35950041810672
831.3,3.31714743375778
831.32,3.27479444940885
831.34,3.23244146505992
831.36,3.19008848071098
831.38,3.14773549636205
831.4,3.10538251201312
831.42,3.09225002495018
831.44,3.09225002495018
831.46,3.12147052223618
831.48,3.15069101952218
831.5,3.17991151680817
831.52,3.20913201409417
831.54,3.23835251138017
831.56,3.26757300866617
831.58,3.29679350595217
831.6,3.32601400323816
831.62,3.35523450052416
831.64,3.38445499781016
831.66,3.41367549509616
831.68,3.44289599238215
831.7,3.47211648966815
831.72,3.50133698695415
831.74,3.53055748424015
831.76,3.55977798152614
831.78,3.58899847881214
831.8,3.61821897609814
831.82,3.64743947338414
831.84,3.67665997067013
831.86,3.70588046795613
831.88,3.73510096524213
831.9,3.76432146252813
831.92,3.79354195981412
831.94,3.82276245710012
831.96,3.85198295438612
831.98,3.88120345167212
832,3.91042394895811
832.02,3.93964444624411
832.04,3.96886494353011
832.06,3.99808544081611
832.08,4.0273059381021
832.1,4.0565264353881
832.12,4.0857469326741
832.14,4.1149674299601
832.16,4.14418792724609
832.18,4.5444393157959
832.2,4.5444393157959
832.22,4.50769853591919
832.24,4.47095775604248
832.26,4.43421697616577
832.28,4.39747619628906
832.3,4.36073541641235
832.32,4.32399463653564
832.34,4.28725385665894
832.36,4.25051307678223
832.38,4.21377229690552
832.4,4.17703151702881
832.42,4.14842975139618
832.44,4.11982798576355
832.46,4.09122622013092
832.48,4.06262445449829
832.5,3.77209496498108
832.52,3.57036209106445
832.54,3.34020948410034
832.56,3.21782493591309
832.58,3.16892552375793
832.6,3.16892552375793
832.62,3.17147064208984
832.64,3.56438326835632
832.66,3.95318698883057
832.68,4.22160673141479
832.7,4.22690719824571
832.72,4.23220766507662
832.74,4.23750813190754
832.76,4.24280859873845
832.78,4.24810906556936
832.8,4.25340953240028
832.82,4.25870999923119
832.84,4.26401046606211
832.86,4.26931093289302
832.88,4.27461139972393
832.9,4.27991186655485
832.92,4.28521233338576
832.94,4.29051280021667
832.96,4.29581326704759
832.98,4.3011137338785
833,4.30641420070942
833.02,4.31171466754033
833.04,4.31701513437124
833.06,4.32231560120216
833.08,4.32761606803307
833.1,4.33291653486399
833.12,4.3382170016949
833.14,4.34351746852581
833.16,4.34881793535673
833.18,4.35411840218764
833.2,4.35941886901855
833.22,4.36471933584947
833.24,4.37001980268038
833.26,4.3753202695113
833.28,4.38062073634221
833.3,4.38592120317312
833.32,4.39122167000404
833.34,4.39652213683495
833.36,4.40182260366586
833.38,4.40712307049678
833.4,4.41242353732769
833.42,4.41772400415861
833.44,4.42302447098952
833.46,4.42832493782043
833.48,4.43362540465135
833.5,4.43892587148226
833.52,4.44422633831318
833.54,4.44952680514409
833.56,4.454827271975
833.58,4.46012773880592
833.6,4.46542820563683
833.62,4.47072867246774
833.64,4.47602913929866
833.66,4.48132960612957
833.68,4.48663007296049
833.7,4.4919305397914
833.72,4.49723100662231
833.74,4.50253147345323
833.76,4.50783194028414
833.78,4.51313240711506
833.8,4.51843287394597
833.82,4.52373334077688
833.84,4.5290338076078
833.86,4.53433427443871
833.88,4.53963474126962
833.9,4.54493520810054
833.92,4.55023567493145
833.94,4.55553614176237
833.96,4.56083660859328
833.98,4.56613707542419
834,4.57143754225511
834.02,4.57673800908602
834.04,4.58203847591694
834.06,4.58733894274785
834.08,4.59263940957876
834.1,4.59793987640968
834.12,4.60324034324059
834.14,4.6085408100715
834.16,4.61384127690242
834.18,4.61914174373333
834.2,4.62444221056425
834.22,4.62974267739516
834.24,4.63504314422607
834.26,4.64034361105699
834.28,4.6456440778879
834.3,4.65094454471882
834.32,4.65624501154973
834.34,4.66154547838064
834.36,4.66684594521156
834.38,4.67214641204247
834.4,4.67744687887338
834.42,4.6827473457043
834.44,4.68804781253521
834.46,4.69334827936613
834.48,4.69864874619704
834.5,4.70394921302795
834.52,4.70924967985887
834.54,4.71455014668978
834.56,4.7198506135207
834.58,4.72515108035161
834.6,4.73045154718252
834.62,4.73575201401344
834.64,4.74105248084435
834.66,4.74635294767526
834.68,4.75165341450618
834.7,4.75695388133709
834.72,4.76225434816801
834.74,4.76755481499892
834.76,4.77285528182983
834.78,4.77815574866075
834.8,4.78345621549166
834.82,4.78875668232258
834.84,4.79405714915349
834.86,4.7993576159844
834.88,4.80465808281532
834.9,4.80995854964623
834.92,4.81525901647714
834.94,4.82055948330806
834.96,4.82585995013897
834.98,4.83116041696989
835,4.8364608838008
835.02,4.84176135063171
835.04,4.84706181746263
835.06,4.85236228429354
835.08,4.85766275112446
835.1,4.86296321795537
835.12,4.86826368478628
835.14,4.8735641516172
835.16,4.87886461844811
835.18,4.88416508527902
835.2,4.88946555210994
835.22,4.89476601894085
835.24,4.90006648577177
835.26,4.90536695260268
835.28,4.91066741943359
835.3,4.91596788626451
835.32,4.92126835309542
835.34,4.92656881992634
835.36,4.93186928675725
835.38,4.93716975358816
835.4,4.94247022041908
835.42,4.94777068724999
835.44,4.9530711540809
835.46,4.95837162091182
835.48,4.96367208774273
835.5,4.96897255457365
835.52,4.97427302140456
835.54,4.97957348823547
835.56,4.98487395506639
835.58,4.9901744218973
835.6,4.99547488872822
835.62,5.00077535555913
835.64,5.00607582239004
835.66,5.01137628922096
835.68,5.01667675605187
835.7,5.02197722288278
835.72,5.0272776897137
835.74,5.03257815654461
835.76,5.03787862337553
835.78,5.04317909020644
835.8,5.04847955703735
835.82,5.05378002386827
835.84,5.05908049069918
835.86,5.0643809575301
835.88,5.06968142436101
835.9,5.07498189119192
835.92,5.08028235802284
835.94,5.08558282485375
835.96,5.09088329168466
835.98,5.09618375851558
836,5.10148422534649
836.02,5.10678469217741
836.04,5.11208515900832
836.06,5.11738562583923
836.08,5.12268609267015
836.1,5.12798655950106
836.12,5.13328702633197
836.14,5.13858749316289
836.16,5.1438879599938
836.18,5.14918842682472
836.2,5.15448889365563
836.22,5.15978936048654
836.24,5.16508982731746
836.26,5.17039029414837
836.28,5.17569076097929
836.3,5.1809912278102
836.32,5.1809912278102
836.34,5.11884133021037
836.36,5.05139096577962
836.38,4.98394060134888
836.4,4.91649023691813
836.42,4.84903987248739
836.44,4.78158950805664
836.46,4.7141391436259
836.48,4.64668877919515
836.5,4.5792384147644
836.52,4.568323802948
836.54,4.55740919113159
836.56,4.54649457931519
836.58,4.53557996749878
836.6,4.52466535568237
836.62,4.51375074386597
836.64,4.50283613204956
836.66,4.49192152023315
836.68,4.48100690841675
836.7,4.47077397678209
836.72,4.47077397678209
836.74,4.47145565696385
836.76,4.4721373371456
836.78,4.47281901732735
836.8,4.4735006975091
836.82,4.47418237769085
836.84,4.47486405787261
836.86,4.47554573805436
836.88,4.47622741823611
836.9,4.47690909841786
836.92,4.47759077859961
836.94,4.47827245878137
836.96,4.47895413896312
836.98,4.47963581914487
837,4.48031749932662
837.02,4.48099917950838
837.04,4.48168085969013
837.06,4.48236253987188
837.08,4.48304422005363
837.1,4.48372590023538
837.12,4.48440758041714
837.14,4.48508926059889
837.16,4.48577094078064
837.18,4.48645262096239
837.2,4.48713430114414
837.22,4.4878159813259
837.24,4.48849766150765
837.26,4.4891793416894
837.28,4.48986102187115
837.3,4.4905427020529
837.32,4.49122438223466
837.34,4.49190606241641
837.36,4.49258774259816
837.38,4.49326942277991
837.4,4.49395110296167
837.42,4.49463278314342
837.44,4.49531446332517
837.46,4.49599614350692
837.48,4.49667782368867
837.5,4.49735950387042
837.52,4.49804118405218
837.54,4.49872286423393
837.56,4.49940454441568
837.58,4.50008622459743
837.6,4.50076790477919
837.62,4.50076790477919
837.64,4.38728737831116
837.66,4.38728737831116
837.68,4.61089372634888
837.7,4.66279172897339
837.72,4.7097020149231
837.74,4.8415961265564
837.76,4.84571552276611
837.78,4.84983491897583
837.8,4.84983491897583
837.82,4.66472005844116
837.84,4.47548580169678
837.86,4.25417709350586
837.88,4.07743453979492
837.9,4.07743453979492
837.92,4.1813530921936
837.94,4.19015858220119
837.96,4.19896407220878
837.98,4.20776956221637
838,4.21657505222395
838.02,4.22538054223154
838.04,4.23418603223913
838.06,4.24299152224672
838.08,4.2517970122543
838.1,4.26060250226189
838.12,4.26940799226948
838.14,4.27821348227707
838.16,4.28701897228465
838.18,4.29582446229224
838.2,4.30462995229983
838.22,4.31343544230742
838.24,4.322240932315
838.26,4.33104642232259
838.28,4.33985191233018
838.3,4.34865740233777
838.32,4.35746289234535
838.34,4.36626838235294
838.36,4.37507387236053
838.38,4.38387936236812
838.4,4.3926848523757
838.42,4.40149034238329
838.44,4.41029583239088
838.46,4.41910132239847
838.48,4.42790681240605
838.5,4.43671230241364
838.52,4.44551779242123
838.54,4.45432328242882
838.56,4.4631287724364
838.58,4.47193426244399
838.6,4.48073975245158
838.62,4.48954524245917
838.64,4.49835073246675
838.66,4.50715622247434
838.68,4.51596171248193
838.7,4.52476720248952
838.72,4.5335726924971
838.74,4.54237818250469
838.76,4.55118367251228
838.78,4.55998916251987
838.8,4.56879465252745
838.82,4.57760014253504
838.84,4.58640563254263
838.86,4.59521112255022
838.88,4.6040166125578
838.9,4.61282210256539
838.92,4.62162759257298
838.94,4.63043308258057
838.96,4.69892549514771
838.98,4.76741790771484
839,4.83591032028198
839.02,4.9656728108724
839.04,4.9656728108724
839.06,4.96413389841716
839.08,4.96259498596191
839.1,4.86599636077881
839.12,4.7693977355957
839.14,4.6727991104126
839.16,4.57620048522949
839.18,4.47960186004639
839.2,4.24570631980896
839.22,4.01181077957153
839.24,3.77791523933411
839.26,3.72260684967041
839.28,3.66729846000671
839.3,3.61199007034302
839.32,3.55668168067932
839.34,3.50137329101563
839.36,3.39567875862122
839.38,3.35539829730988
839.4,3.31511783599854
839.42,3.22512722015381
839.44,3.17245841026306
839.46,3.17031276226044
839.48,3.17031276226044
839.5,3.17031276226044
839.52,3.16207051277161
839.54,3.15367698669434
839.56,3.1273672580719
839.58,3.1273672580719
839.6,3.19351494312286
839.62,3.24466848373413
839.64,3.24466848373413
839.66,3.2205445766449
839.68,3.19642066955566
839.7,3.17229676246643
839.72,3.1481728553772
839.74,3.12404894828796
839.76,3.10944128036499
839.78,3.09483361244202
839.8,3.08022594451904
839.82,3.06561827659607
839.84,3.05440227190653
839.86,3.043186267217
839.88,3.03197026252747
839.9,2.9897255897522
839.92,2.9728741645813
839.94,2.9560227394104
839.96,2.9414119720459
839.98,2.9414119720459
840,2.95278787612915
840.02,2.9641637802124
840.04,2.97553968429565
840.06,2.9924835562706
840.08,3.00942742824554
840.1,3.02637130022049
840.12,3.04331517219543
840.14,3.04834532737732
840.16,3.06166696548462
840.18,4.3354697227478
840.2,4.3354697227478
840.22,4.09067296981812
840.24,3.9055392742157
840.26,3.74331797493829
840.28,3.74331797493829
840.3,3.74539759423998
840.32,3.74747721354167
840.34,3.74955683284336
840.36,3.75163645214505
840.38,3.75371607144674
840.4,3.75579569074843
840.42,3.75787531005012
840.44,3.75995492935181
840.46,3.86717855930328
840.48,3.97440218925476
840.5,4.08162581920624
840.52,4.08162581920624
840.54,4.05231428146362
840.56,4.05231428146362
840.58,4.10256040096283
840.6,4.20532417297363
840.62,4.20532417297363
840.64,4.1343297958374
840.66,4.03650856018066
840.68,4.02306652069092
840.7,3.83324444293976
840.72,3.62998032569885
840.74,3.50876951217651
840.76,3.38755869865417
840.78,3.37429216929844
840.8,3.36102563994271
840.82,3.34775911058698
840.84,3.33449258123125
840.86,3.32122605187552
840.88,3.30795952251979
840.9,3.30795952251979
840.92,3.56538474559784
840.94,3.83607649803162
840.96,4.05515730381012
840.98,4.23549890518188
841,4.27423810958862
841.02,4.32687377929688
841.04,4.32687377929688
841.06,4.33381986618042
841.08,4.33381986618042
841.1,4.35801362991333
841.12,4.36107182502747
841.14,4.3641300201416
841.16,4.36718821525574
841.18,4.37024641036987
841.2,4.41735696792603
841.22,4.46446752548218
841.24,4.51157808303833
841.26,4.51555744806925
841.28,4.51953681310018
841.3,4.51953681310018
841.32,4.45307731628418
841.34,4.43974231972414
841.36,4.4264073231641
841.38,4.41307232660406
841.4,4.39973733004402
841.42,4.38640233348398
841.44,4.37306733692394
841.46,4.3597323403639
841.48,4.34639734380385
841.5,4.33306234724381
841.52,4.31972735068377
841.54,4.30639235412373
841.56,4.29305735756369
841.58,4.27972236100365
841.6,4.26638736444361
841.62,4.25305236788357
841.64,4.23971737132353
841.66,4.22638237476349
841.68,4.21304737820345
841.7,4.19971238164341
841.72,4.18637738508337
841.74,4.17304238852333
841.76,4.15970739196329
841.78,4.14637239540324
841.8,4.1330373988432
841.82,4.11970240228316
841.84,4.10636740572312
841.86,4.09303240916308
841.88,4.07969741260304
841.9,4.066362416043
841.92,4.05302741948296
841.94,4.03969242292292
841.96,4.02635742636288
841.98,4.01302242980284
842,4.01302242980284
842.02,4.41752576828003
842.04,4.4778265953064
842.06,4.4778265953064
842.08,4.41300058364868
842.1,4.38944911956787
842.12,4.34386301040649
842.14,4.29483652114868
842.16,4.25609302520752
842.18,4.25609302520752
842.2,4.31680917739868
842.22,4.35070991516113
842.24,4.36305952072144
842.26,4.36305952072144
842.28,4.35130228715784
842.3,4.30150250827565
842.32,4.25170272939345
842.34,4.20190295051126
842.36,4.15210317162906
842.38,4.10230339274687
842.4,4.05250361386467
842.42,4.00270383498248
842.44,3.95290405610028
842.46,3.90310427721809
842.48,3.85330449833589
842.5,3.8035047194537
842.52,3.7537049405715
842.54,3.70390516168931
842.56,3.65410538280711
842.58,3.60430560392492
842.6,3.55450582504272
842.62,3.40236294269562
842.64,3.40236294269562
842.66,3.65217804908752
842.68,3.65217804908752
842.7,3.61585412706648
842.72,3.61585412706648
842.74,3.62959143093654
842.76,3.64332873480661
842.78,3.65706603867667
842.8,3.67080334254674
842.82,3.6845406464168
842.84,3.69827795028687
842.86,3.71201525415693
842.88,3.72575255802699
842.9,3.73948986189706
842.92,3.75322716576712
842.94,3.76696446963719
842.96,3.78070177350725
842.98,3.79443907737732
843,3.80817638124738
843.02,3.82191368511745
843.04,3.83565098898751
843.06,3.84938829285758
843.08,3.86312559672764
843.1,3.87686290059771
843.12,3.89060020446777
843.14,3.90433750833784
843.16,3.9180748122079
843.18,3.93181211607797
843.2,3.94554941994803
843.22,3.9592867238181
843.24,3.97302402768816
843.26,3.98676133155823
843.28,4.00049863542829
843.3,4.01423593929836
843.32,4.02797324316842
843.34,4.04171054703849
843.36,4.05544785090855
843.38,4.06918515477862
843.4,4.08292245864868
843.42,4.09665976251875
843.44,4.11039706638881
843.46,4.12413437025888
843.48,4.13787167412894
843.5,4.15160897799901
843.52,4.16534628186907
843.54,4.17908358573914
843.56,4.1928208896092
843.58,4.20655819347927
843.6,4.22029549734933
843.62,4.2340328012194
843.64,4.24777010508946
843.66,4.26150740895952
843.68,4.27524471282959
843.7,4.28898201669965
843.72,4.30271932056972
843.74,4.31645662443978
843.76,4.33019392830985
843.78,4.34393123217991
843.8,4.35766853604998
843.82,4.37140583992004
843.84,4.38514314379011
843.86,4.39888044766017
843.88,4.41261775153024
843.9,4.4263550554003
843.92,4.44009235927037
843.94,4.45382966314043
843.96,4.45382966314043
843.98,4.40736323595047
844,4.34715950489044
844.02,4.28695577383041
844.04,4.22675204277039
844.06,4.16654831171036
844.08,4.10634458065033
844.1,4.0461408495903
844.12,3.98593711853027
844.14,3.98593711853027
844.16,4.00923013687134
844.18,4.11029231548309
844.2,4.11029231548309
844.22,4.03575372695923
844.24,3.92135858535767
844.26,3.92135858535767
844.28,3.66419911384583
844.3,3.60115814208984
844.32,3.58678138256073
844.34,3.58678138256073
844.36,3.57240462303162
844.38,3.43410348892212
844.4,3.43410348892212
844.42,3.48401880264282
844.44,3.48401880264282
844.46,3.44682788848877
844.48,3.43929815292358
844.5,3.43929815292358
844.52,3.43929815292358
844.54,3.3168203830719
844.56,3.23569738864899
844.58,3.15457439422607
844.6,3.11387431621552
844.62,3.11387431621552
844.64,3.34990290495066
844.66,3.34990290495066
844.68,3.34553630535419
844.7,3.34116970575773
844.72,3.33680310616126
844.74,3.3324365065648
844.76,3.32806990696834
844.78,3.32370330737187
844.8,3.31933670777541
844.82,3.31497010817895
844.84,3.31060350858248
844.86,3.30623690898602
844.88,3.30187030938955
844.9,3.29750370979309
844.92,3.18213558197021
844.94,3.10400700569153
844.96,3.07834339141846
844.98,3.05751967430115
845,3.05751967430115
845.02,3.06917572021484
845.04,3.07637071609497
845.06,3.09260320663452
845.08,3.09260320663452
845.1,3.08983898162842
845.12,3.08648645877838
845.14,3.08648645877838
845.16,3.0997166633606
845.18,3.24326711893082
845.2,3.38681757450104
845.22,3.53036803007126
845.24,3.53036803007126
845.26,3.67391848564148
845.28,3.90778668721517
845.3,4.28617898623149
845.32,4.6645712852478
845.34,4.73147821426392
845.36,4.83956670761108
845.38,4.83956670761108
845.4,4.23173151016235
845.42,4.23173151016235
845.44,4.39157409667969
845.46,4.55141668319702
845.48,4.71125926971436
845.5,4.74011087417603
845.52,4.74011087417603
845.54,4.44244909286499
845.56,4.01772299077776
845.58,4.01772299077776
845.6,4.05857759051853
845.62,4.0994321902593
845.64,4.14028679000007
845.66,4.18114138974084
845.68,4.22199598948161
845.7,4.26285058922238
845.72,4.30370518896315
845.74,4.34455978870392
845.76,4.38541438844469
845.78,4.42626898818546
845.8,4.46712358792623
845.82,4.507978187667
845.84,4.54883278740777
845.86,4.58968738714854
845.88,4.63054198688931
845.9,4.67139658663008
845.92,4.71225118637085
845.94,4.71292579650879
845.96,4.71360040664673
845.98,4.71427501678467
846,4.71494962692261
846.02,4.71562423706055
846.04,4.71629884719849
846.06,4.71697345733643
846.08,4.71764806747437
846.1,4.7183226776123
846.12,4.71899728775024
846.14,4.71967189788818
846.16,4.72034650802612
846.18,4.72102111816406
846.2,4.721695728302
846.22,4.72237033843994
846.24,4.72304494857788
846.26,4.72371955871582
846.28,4.72439416885376
846.3,4.7250687789917
846.32,4.72574338912964
846.34,4.72641799926758
846.36,4.72709260940552
846.38,4.72776721954346
846.4,4.7284418296814
846.42,4.72911643981934
846.44,4.75453572803073
846.46,4.77995501624213
846.48,4.80537430445353
846.5,4.83079359266493
846.52,4.85621288087633
846.54,4.88163216908773
846.56,4.90705145729913
846.58,4.93247074551052
846.6,4.95789003372192
846.62,5.01221265792847
846.64,5.06653528213501
846.66,5.12085790634155
846.68,5.1751805305481
846.7,5.1751805305481
846.72,4.75779020786285
846.74,4.75779020786285
846.76,4.85977673530579
846.78,4.96176326274872
846.8,5.04881029293455
846.82,5.04881029293455
846.84,5.03387079567745
846.86,5.01893129842035
846.88,5.00399180116325
846.9,4.98905230390614
846.92,4.97411280664904
846.94,4.95917330939194
846.96,4.94423381213484
846.98,4.92929431487774
847,4.91435481762064
847.02,4.89941532036354
847.04,4.88447582310644
847.06,4.86953632584934
847.08,4.85459682859223
847.1,4.83965733133513
847.12,4.82471783407803
847.14,4.80977833682093
847.16,4.79483883956383
847.18,4.77989934230673
847.2,4.76495984504963
847.22,4.75002034779253
847.24,4.73508085053543
847.26,4.72014135327832
847.28,4.70520185602122
847.3,4.69026235876412
847.32,4.67532286150702
847.34,4.66038336424992
847.36,4.64544386699282
847.38,4.63050436973572
847.4,4.61556487247862
847.42,4.60062537522152
847.44,4.58568587796441
847.46,4.57074638070731
847.48,4.55580688345021
847.5,4.54086738619311
847.52,4.52592788893601
847.54,4.51098839167891
847.56,4.49604889442181
847.58,4.48110939716471
847.6,4.46616989990761
847.62,4.4512304026505
847.64,4.4362909053934
847.66,4.4213514081363
847.68,4.4064119108792
847.7,4.3914724136221
847.72,4.376532916365
847.74,4.3615934191079
847.76,4.3466539218508
847.78,4.3317144245937
847.8,4.31677492733659
847.82,4.30183543007949
847.84,4.28689593282239
847.86,4.27195643556529
847.88,4.25701693830819
847.9,4.24207744105109
847.92,4.22713794379399
847.94,4.21219844653689
847.96,4.19725894927979
847.98,4.18231945202268
848,4.16737995476558
848.02,4.15244045750848
848.04,4.13750096025138
848.06,4.12256146299428
848.08,4.10762196573718
848.1,4.09268246848008
848.12,4.07774297122298
848.14,4.06280347396588
848.16,4.04786397670877
848.18,4.03292447945167
848.2,4.01798498219457
848.22,4.00304548493747
848.24,3.98810598768037
848.26,3.97316649042327
848.28,3.95822699316617
848.3,3.94328749590907
848.32,3.92834799865197
848.34,3.91340850139486
848.36,3.89846900413776
848.38,3.88352950688066
848.4,3.86859000962356
848.42,3.85365051236646
848.44,3.83871101510936
848.46,3.82377151785226
848.48,3.80883202059516
848.5,3.79389252333805
848.52,3.77895302608095
848.54,3.76401352882385
848.56,3.58082966804504
848.58,3.58082966804504
